time,pitch,roll,label
1736849857,-10,-6,3
1736849858,-11,-6,3
1736849858,-12,-7,3
1736849858,-14,-7,3
1736849858,-16,-6,3
1736849858,-17,-5,3
1736849859,-18,-4,3
1736849859,-19,-4,3
1736849859,-19,-4,3
1736849859,-17,-4,3
1736849859,-16,-4,3
1736849860,-16,-5,3
1736849860,-16,-4,3
1736849860,-18,-3,3
1736849860,-18,-3,3
1736849860,-16,-4,3
1736849861,-14,-6,3
1736849861,-15,-6,3
1736849861,-24,-7,3
1736849861,-38,-8,3
1736849861,-47,-10,3
1736849862,-47,-10,3
1736849862,-40,-8,3
1736849862,-25,-5,3
1736849862,-15,-5,3
1736849862,-8,-4,3
1736849863,0,-4,3
1736849863,4,-5,3
1736849863,4,-5,3
1736849863,-2,-6,3
1736849863,-12,-6,3
1736849864,-22,-7,3
1736849864,-31,-8,3
1736849864,-38,-8,3
1736849864,-44,-8,3
1736849864,-51,-10,3
1736849865,-58,-11,3
1736849865,-61,-11,3
1736849865,-59,-10,3
1736849865,-43,-3,3
1736849865,-20,0,3
1736849866,-7,0,3
1736849866,-8,1,3
1736849866,-10,-1,3
1736849866,-11,-4,3
1736849866,-13,-5,3
1736849867,-14,-5,3
1736849867,-15,-5,3
1736849867,-18,-6,3
1736849867,-21,-3,3
1736849867,-22,1,3
1736849868,-24,3,3
1736849868,-25,5,3
1736849868,-25,0,3
1736849868,-24,0,3
1736849868,-26,-1,3
1736849869,-26,3,3
1736849869,-24,1,3
1736849869,-21,-4,3
1736849869,-21,-5,3
1736849869,-21,-8,3
1736849870,-22,-12,3
1736849870,-23,-13,3
1736849870,-24,-13,3
1736849870,-23,-12,3
1736849870,-25,-8,3
1736849871,-28,-4,3
1736849871,-26,-4,3
1736849871,-27,-5,3
1736849871,-24,-7,3
1736849871,-20,-9,3
1736849872,-19,-10,3
1736849872,-19,-10,3
1736849872,-21,-7,3
1736849872,-24,-4,3
1736849872,-26,-2,3
1736849873,-26,-1,3
1736849873,-27,-2,3
1736849873,-29,-1,3
1736849873,-30,0,3
1736849873,-26,-1,3
1736849874,-24,-2,3
1736849874,-26,-1,3
1736849874,-30,-3,3
1736849874,-29,-4,3
1736849875,-27,-5,3
1736849875,-28,-6,3
1736849875,-29,-8,3
1736849875,-31,-8,3
1736849875,-32,-8,3
1736849876,-30,-7,3
1736849876,-29,-8,3
1736849876,-32,-7,3
1736849876,-32,-7,3
1736849876,-30,-7,3
1736849877,-29,-6,3
1736849877,-27,-5,3
1736849877,-24,-4,3
1736849877,-23,-5,3
1736849877,-30,-7,3
1736849878,-38,-9,3
1736849878,-47,-14,3
1736849878,-50,-18,3
1736849878,-49,-17,3
1736849878,-45,-14,3
1736849879,-36,-10,3
1736849879,-29,-8,3
1736849879,-23,-6,3
1736849879,-19,-3,3
1736849879,-15,0,3
1736849880,-14,-1,3
1736849880,-18,-3,3
1736849880,-26,-5,3
1736849880,-35,-5,3
1736849880,-45,-8,3
1736849881,-48,-14,3
1736849881,-49,-19,3
1736849881,-51,-24,3
1736849881,-51,-23,3
1736849881,-46,-14,3
1736849882,-35,-6,3
1736849882,-27,-3,3
1736849882,-24,-3,3
1736849882,-24,-4,3
1736849882,-33,-7,3
1736849883,-44,-15,3
1736849883,-51,-19,3
1736849883,-59,-19,3
1736849883,-65,-27,3
1736849883,-65,-30,3
1736849884,-63,-30,3
1736849884,-58,-28,3
1736849884,-50,-18,3
1736849884,-42,-10,3
1736849884,-42,-11,3
1736849885,-46,-13,3
1736849885,-60,-19,3
1736849885,-67,-27,3
1736849885,-72,-47,3
1736849885,-73,-54,3
1736849886,-73,-57,3
1736849886,-71,-38,3
1736849886,-63,-19,3
1736849886,-53,-14,3
1736849886,-46,-10,3
1736849887,-42,-8,3
1736849887,-38,-8,3
1736849887,-36,-7,3
1736849887,-38,-9,3
1736849887,-39,-12,3
1736849888,-37,-17,3
1736849888,-39,-16,3
1736849888,-42,-9,3
1736849888,-43,-5,3
1736849888,-46,-1,3
1736849889,-46,-7,3
1736849889,-42,-18,3
1736849889,-43,-17,3
1736849889,-37,-13,3
1736849889,-17,-5,3
1736849890,-17,13,3
1736849890,-23,21,3
1736849890,-25,12,3
1736849890,-23,13,3
1736849890,-24,13,3
1736849907,-4,-4,3
1736849907,-4,-4,3
1736849907,-4,-4,3
1736849908,-5,-5,3
1736849908,-2,-4,3
1736849908,4,-3,3
1736849908,11,-4,3
1736849908,14,-3,3
1736849909,16,-3,3
1736849909,16,-3,3
1736849909,10,-3,3
1736849909,-1,-4,3
1736849909,-10,-4,3
1736849910,-21,-6,3
1736849910,-32,-7,3
1736849910,-41,-8,3
1736849910,-46,-9,3
1736849910,-51,-9,3
1736849911,-54,-10,3
1736849911,-53,-10,3
1736849911,-46,-8,3
1736849911,-35,-6,3
1736849912,-25,-5,3
1736849912,-16,-6,3
1736849912,-14,-6,3
